id,title,overview,genres,actors_actresses
729165,Out of Exile,"Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery.",[],"['Adam Hampton', 'Karrie Cox', 'Kyle Jacob Henry', 'Ryan Merriman', 'Peter Greene']"
293660,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",[],"['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T.J. Miller', 'Gina Carano']"
1010600,The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives.",[],"['Madelaine Petsch', 'Froy Gutierrez', 'Gabriel Basso', 'Ema Horvath', 'Richard Brake']"
762441,A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",[],"[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire']"
1152624,3 Days in Malay,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",[],"['Louis Mandylor', 'Donald Cerrone', ""Quinton 'Rampage' Jackson"", 'Peter Dobson', 'Ryan Francis']"
280180,Beverly Hills Cop: Axel F,"Forty years after his unforgettable first case in Beverly Hills, Detroit cop Axel Foley returns to do what he does best: solve crimes and cause chaos.",[],"['Eddie Murphy', 'Joseph Gordon-Levitt', 'Taylour Paige', 'Judge Reinhold', 'John Ashton']"
943344,Underground Monster,"Near a remote town, the repeated dumping of toxic waste causes an underground cave dweller to mutate into a hideous monster. A construction team that is digging a tunnel accidentally disturb the creature's habitat causing it to attack.",[],"['Wei Wei', 'Wei Lu', 'Zhang Chunzhong', 'Yue Dongfeng', 'Li Ruoxi']"
383498,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,[],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz']"
823464,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",[],"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns']"
150540,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",[],"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']"
383498,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,[],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz']"
1174618,Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",[],"['Lizzy Willis', 'Rula Lenska', 'Jon-Paul Gates', 'Steve Wraith', 'Lila Sarner']"
293660,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",[],"['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T.J. Miller', 'Gina Carano']"
646683,The Exorcism,"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",[],"['Russell Crowe', 'Ryan Simpkins', 'Sam Worthington', 'Chloe Bailey', 'Adam Goldberg']"
823464,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",[],"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns']"
1016346,MR-9: Do or Die,Elite Bangladeshi CIA agent Masud Rana – codename MR-9 – teams up with an American CIA operative to bring down an international criminal organization headed by a ruthless businessman.,[],"['Frank Grillo', 'Michael Jai White', 'Kelly Greyson', 'Matt Passmore', 'Sakshi Pradhan']"
762441,A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",[],"[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire']"
1001311,Under Paris,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",[],"['Bérénice Bejo', 'Nassim Lyes', 'Léa Léviant', 'Sandra Parfait', 'Aksel Üstün']"
931405,"Run, Tiger Run!",The film follows a young boy who sets out on a mission to try and track down his long lost parents.,[],"['Nianci Shen', 'Dawei Liang', 'Liang Zou', 'Jianru Zhang', 'Lü Qi']"
1143019,The Infallibles,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",[],"['Inès Reg', 'Kévin Debonne', 'Vincent Rottiers', 'Moussa Maaskri', 'François Neycken']"
929590,Civil War,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",[],"['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee']"
1152624,3 Days in Malay,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",[],"['Louis Mandylor', 'Donald Cerrone', ""Quinton 'Rampage' Jackson"", 'Peter Dobson', 'Ryan Francis']"
955555,The Roundup: No Way Out,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",[],"['Ma Dong-seok', 'Lee Jun-hyuk', 'Munetaka Aoki', 'Lee Beom-soo', 'Kim Min-jae']"
746036,The Fall Guy,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",[],"['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer']"
1011985,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",[],"['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston']"
1115623,The Last Kumite,"When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world’s best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter’s life?",[],"['Mathis Landwehr', 'Kurt McKinney', 'Billy Blanks', 'Matthias Hues', 'Cynthia Rothrock']"
1207898,The Jack in the Box: Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",[],"['Nicholas Anscombe', 'Isabella Colby Browne', 'Derek Nelson', 'Georgia Conlan', 'James Reynard']"
718821,Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",[],"['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney']"
626412,Alienoid: Return to the Future,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.",[],"['Ryu Jun-yeol', 'Kim Tae-ri', 'Kim Woo-bin', 'Lee Ha-nee', 'Yum Jung-ah']"
821499,The Inheritance,"Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone – or something – is coming to kill him. To ensure his family will help protect him from whatever’s coming, Abernathy puts each of their inheritances on the line – they’ll get nothing if he’s found dead by dawn.",[],"['Bob Gunton', 'Peyton List', 'Briana Middleton', 'Rachel Nichols', 'Austin Stowell']"
567604,Once Upon a Deadpool,"A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2 as a Princess Bride-esque story that's full of magic, wonder & zero F's.",[],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz']"
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",[],"['Vin Diesel', 'Asia Argento', 'Marton Csokas', 'Samuel L. Jackson', 'Michael Roof']"
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",[],"['Annouck Hautbois', 'Benjamin Bollen', 'Marie Nonnenmacher', 'Thierry Kazazian', 'Fanny Bloc']"
693134,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",[],"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin']"
558144,Deadpool: No Good Deed,"Deadpool sees an opportunity to save the day, but it doesn't go entirely as planned.",[],"['Ryan Reynolds', 'Stan Lee']"
940551,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",[],"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina']"
444483,Vassalord.,"Charley, a cyborg vampire who does the Vatican's dirty work, is the thrall of the local vampire playboy Johnny Rayflo. As the two fight crime—and each other—hilarity, violence and sacrilege ensue! But can Charley resist his own desperate cravings for blood? Find out as the devilish duo go up aginst a childlike vampire princess, a mysterious branch of the Unitarian Church...and one another.",[],"['Keiji Fujiwara', 'Ryotaro Okiayu', 'Mai Kadowaki', 'Rina Sato', 'Misa Kobayashi']"
719221,Tarot,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",[],"['Harriet Slater', 'Adain Bradley', 'Avantika', 'Jacob Batalon', 'Humberly González']"
774531,Young Woman and the Sea,"This is the extraordinary true story of Trudy Ederle, the first woman to successfully swim the English Channel. Through the steadfast support of her older sister and supportive trainers, she overcame adversity and the animosity of a patriarchal society to rise through the ranks of the Olympic swimming team and complete the 21-mile trek from France to England.",[],"['Daisy Ridley', 'Tilda Cobham-Hervey', 'Stephen Graham', 'Kim Bodnia', 'Jeanette Hain']"
959098,Autumn and the Black Jaguar,"Grown up in the Amazon rainforest, Autumn lives with Hope, the cute baby jaguar she adopted. However, a circumstance forces Autumn to return to New York. Autumn goes back into the jungle to save Hope from grave danger.",[],"['Lumi Pollack', 'Emily Bett Rickards', 'Wayne Charles Baker', 'Paul Greene', 'Kelly Hope Taylor']"
955555,The Roundup: No Way Out,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",[],"['Ma Dong-seok', 'Lee Jun-hyuk', 'Munetaka Aoki', 'Lee Beom-soo', 'Kim Min-jae']"
1219685,An Ideal Father,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",[],"['Laurent Gerra', 'Eddy Mitchell', 'Laure-Lucille Simon', 'Jérôme Kircher', 'Tess Barthélémy']"
569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",[],"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson']"
1115623,The Last Kumite,"When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world’s best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter’s life?",[],"['Mathis Landwehr', 'Kurt McKinney', 'Billy Blanks', 'Matthias Hues', 'Cynthia Rothrock']"
1086747,The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",[],"['Dakota Fanning', 'Georgina Campbell', 'Olwen Fouéré', 'Oliver Finnegan', 'Alistair Brammer']"
614933,Atlas,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,[],"['Jennifer Lopez', 'Simu Liu', 'Sterling K. Brown', 'Gregory James Cohan', 'Abraham Popoola']"
1255350,Find Me Falling,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame.",[],"['Harry Connick Jr.', 'Agni Scott', 'Ali Fumiko Whitney', 'Clarence Smith', 'Athina Roditou']"
1070535,Canceled,"Gone Ghosting is a popular ghost hunting team that earned millions from live broadcasts and selling merch. Lise, Catta, Sandro, and Polly join the group to live-stream a ghost hunt to prove that everything is real. They break into a place where legend says everyone has died and do the craziest broadcast ever live.",[],"['Vincent Grahl', 'Fanny Klefelt', 'Klas Wiljergård', 'William Wasberg', 'Felicia Kartal']"
940721,Godzilla Minus One,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",[],"['Ryunosuke Kamiki', 'Minami Hamabe', 'Yuki Yamada', 'Munetaka Aoki', 'Hidetaka Yoshioka']"
603692,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",[],"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne']"
1022796,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",[],"['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral', 'Victor Garber']"
603692,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",[],"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne']"
829402,Ultraman: Rising,"A star athlete reluctantly returns home to take over his father's duties as Ultraman, shielding Tokyo from giant monsters as he becomes a legendary hero.",[],"['Christopher Sean', 'Gedde Watanabe', 'Tamlyn Tomita', 'Keone Young', 'Julia Harriman']"
437342,The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",[],"['Nell Tiger Free', 'Ralph Ineson', 'Sônia Braga', 'Bill Nighy', 'María Caballero']"
932086,Horizon: An American Saga - Chapter 1,"Follow the story of how the Old West was won—and lost—through the blood, sweat and tears of many. Spanning 15 years before, during and following the Civil War from 1859 to 1874, embark on an emotional journey across a country at war with itself, experienced through the lens of families, friends and foes all attempting to discover what it truly means to be the United States of America.",[],"['Kevin Costner', 'Sienna Miller', 'Sam Worthington', 'Jena Malone', 'Abbey Lee']"
38700,Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",[],"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Charles Melton']"
502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",[],"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key']"
1041613,Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",[],"['Sydney Sweeney', 'Álvaro Morte', 'Simona Tabasco', 'Benedetta Porcaroli', 'Giorgio Colangeli']"
872585,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,[],"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh']"
1096197,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,[],"['Colm Meaney', 'Phyllis Logan', 'Sophie McIntosh', 'Will Attenborough', 'Jeremias Amoore']"
626412,Alienoid: Return to the Future,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.",[],"['Ryu Jun-yeol', 'Kim Tae-ri', 'Kim Woo-bin', 'Lee Ha-nee', 'Yum Jung-ah']"
1020896,Handling the Undead,"On a hot summer day in Oslo, the dead mysteriously awaken, and three families are thrown into chaos when their deceased loved ones come back to them. Who are they, and what do they want?",[],"['Renate Reinsve', 'Anders Danielsen Lie', 'Bahar Pars', 'Bjørn Sundquist', 'Denise Trankalis']"
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",[],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']"
938614,Late Night with the Devil,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",[],"['David Dastmalchian', 'Laura Gordon', 'Ian Bliss', 'Fayssal Bazzi', 'Ingrid Torelli']"
14836,Coraline,"A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.",[],"['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David']"
1305095,Deadpool The Musical 2 - Ultimate Disney Parody!,"Watch as Deadpool sings and slays his way through a series of Disney songs and superhero teams, from The X-Men to The Avengers & more!",[],"['Michael S. Parker', 'Sheila Collins', 'Vic Mignogna', 'Kate Le', 'Brian Danner']"
673,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",[],"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon']"
634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",[],"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau']"
976573,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",[],"['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey']"
1284004,May the 12th Be with You,"It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",[],"['Julie Kavner', 'Dan Castellaneta', 'Chris Edgerly', 'Tress MacNeille', 'Carolyn Omine']"
1026819,The Hunted,"After their boat capsizes in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle soon becomes a nightmare when the saviors turn into ruthless manhunters.",[],"['Lily Banda', 'Alec Newman', 'Kostis Kallivretakis', 'Mylène Jampanoï', 'Marlene Kaminsky']"
634492,Madame Web,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",[],"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim']"
667538,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",[],"['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage']"
20352,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",[],"['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier', 'Elsie Fisher', 'Jason Segel']"
385687,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",[],"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena']"
1280768,No Time to Spy: A Loud House Movie,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration; but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island.",[],"['Bentley Griffin', 'Alex Cazares', 'Piotr Michael', 'Brian Stepanek', 'Amy Sedaris']"
948549,Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",[],"['Kristen Stewart', ""Katy O'Brian"", 'Ed Harris', 'Dave Franco', 'Jena Malone']"
